orbifold,wallpaper_group,cyclic_n1,cyclic_n2,cyclic_n3,cyclic_n4,cyclic_n5,cyclic_n6,film_n1,film_n2,film_n3,film_n4,film_n5,film_n6,forward_total
o,p1,1,1,1,1,1,1,1,0,0,0,0,0,1
2222,p2,1,2,0,0,0,0,1,2,0,0,0,0,3
**,pm,1,5,1,3,1,5,1,0,0,0,0,0,1
××,pg,1,2,1,2,1,2,1,0,0,0,0,0,1
*×,cm,1,3,1,2,1,3,1,1,0,0,0,0,2
*2222,pmm,1,5,0,0,0,0,1,5,0,0,0,0,6
22*,pmg,1,5,0,0,0,0,1,5,0,0,0,0,6
22×,pgg,1,2,0,1,0,0,1,2,0,1,0,0,4
2*22,cmm,1,5,0,0,0,0,1,5,0,0,0,0,6
442,p4,1,2,0,2,0,0,1,2,0,3,0,0,6
*442,p4m,1,5,0,0,0,0,1,5,0,0,0,0,6
4*2,p4g,1,3,0,2,0,0,1,3,0,2,0,0,6
333,p3,1,0,2,0,0,0,1,0,3,0,0,0,4
*333,p3m1,1,1,0,0,0,0,1,1,0,0,0,0,2
3*3,p31m,1,1,1,0,0,1,1,1,1,0,0,1,4
632,p6,1,1,1,0,0,1,1,1,2,0,0,2,6
*632,p6m,1,3,0,0,0,0,1,3,0,0,0,0,4
