id    fam   orbifold  N                n=2              n=3              n=4              n=5              n=6             n=12
g1    p1    ◦         1            3:1|4:1         8:1|18:1        12:1|44:2       24:1|100:1       24:1|158:3      96:1|1360:5
g5    p2    2222      1            7:2|8:3          0:0|2:1         0:0|16:3          0:0|4:1         0:0|30:5         0:0|32:3
g6    p2    2222      2            7:2|0:0          0:0|2:1          0:0|8:2          0:0|4:1         0:0|14:2         0:0|16:2
g7    p2    2222      2            7:4|0:0          0:0|2:1          0:0|8:3          0:0|4:1         0:0|14:4         0:0|16:3
g8    cm    *×        1            3:3|4:2          2:1|6:1         4:2|20:4         4:1|20:1         6:3|50:7       8:2|184:10
g9    cm    *×        2            3:3|0:0          2:1|6:1          4:2|8:2         4:1|20:1         6:3|18:3         8:2|88:6
g10   pm    **        1            7:5|8:3          2:1|6:1         8:3|40:6         4:1|20:1      14:5|106:11      16:3|368:15
g11   pg    ××        1            3:2|4:2          2:1|6:1         4:2|20:4         4:1|20:1         6:2|50:6       8:2|184:10
g54   pmm   *2222     1          15:5|16:6          0:0|2:1         0:0|32:6          0:0|4:1        0:0|62:11         0:0|64:6
g55   pmm   *2222     2           15:5|0:0          0:0|2:1         0:0|16:4          0:0|4:1         0:0|30:5         0:0|32:4
g56   pmg   22*       1            7:5|8:6          0:0|2:1         0:0|16:6          0:0|4:1        0:0|30:11         0:0|32:6
g57   pmg   22*       2            7:5|0:0          0:0|2:1          0:0|8:3          0:0|4:1         0:0|14:5         0:0|16:3
g58   pgg   22×       1            3:2|4:3          0:0|2:1         4:1|20:5          0:0|4:1         0:0|14:5         0:0|48:6
g59   pgg   22×       2            3:2|4:1          0:0|2:1          4:1|4:2          0:0|4:1         0:0|14:3         0:0|16:3
g60   pmm   *2222     2           15:8|0:0          0:0|2:1         0:0|16:6          0:0|4:1         0:0|30:8         0:0|32:6
g61   pmg   22*       2            7:5|0:0          0:0|2:1          0:0|8:3          0:0|4:1         0:0|14:5         0:0|16:3
g62   pmg   22*       2            7:5|0:0          0:0|2:1          0:0|8:4          0:0|4:1         0:0|14:5         0:0|16:4
g63   pgg   22×       2            3:3|0:0          0:0|2:1          4:1|8:3          0:0|4:1          0:0|6:3         0:0|24:4
g64   pmm   *2222     2          15:11|0:0          0:0|2:1         0:0|16:6          0:0|4:1        0:0|30:11         0:0|32:6
g65   pmm   *2222     2          15:11|0:0          0:0|2:1         0:0|16:6          0:0|4:1        0:0|30:11         0:0|32:6
g66   pmg   22*       2            7:7|0:0          0:0|2:1          0:0|8:4          0:0|4:1         0:0|14:7         0:0|16:4
g67   pmg   22*       2            7:7|0:0          0:0|2:1          0:0|8:4          0:0|4:1         0:0|14:7         0:0|16:4
